recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.5
ma-la-chicken	7.2259221116059615	0.5
quesadillas	7.21569015113308	1.0
ramen	7.227970353300916	0.5
spamburger	7.011714805166737	1.0
pain-au-chocolat	7.007417624143703	1.0
chocolate-babka	7.049045452088476	1.0
bacon-fried-rice	7.038333146953206	1.0
nacho-fries	6.9805394805918395	1.0
asparagus-quiche	6.805326258094674	1.0
cranberry-sauce	6.801713846204558	0.5
asparagus-burger	6.714773400824381	0.5
strawberry-rhubarb-crisp	6.510222255097087	0.5
bacon-wrapped-chicken	6.506464872735658	1.0
guacamole	6.4259078800502145	0.0
bacon-wrapped-asparagus	6.38010280908208	1.0
apple-pie	6.3785599394077925	0.5
cold-noodles-with-tomatoes	6.365285886802174	0.5
brioche-bread	6.306801518169611	0.5
taco-salad	6.281096903607112	0.5
mushroom-quiche	6.276824481890252	0.5
tamales	6.204705927737059	0.5
dan-dan-noodles	6.137341522691674	0.5
bacon-mac-and-cheese	6.00162006199145	1.0
apple-crisp	5.990733608909595	0.5
chicken-nuggets	5.961757915629387	0.5
breakfast-burritos	5.893723876102859	1.0
croissants	5.8718497085395285	0.5
fajitas	5.80782458734434	0.5
spam-musubi	5.742659526570638	1.0
tacos	5.733292906298018	1.0
bacon-wrapped-shrimp-skewers	5.7282359812102	1.0
croissant-aux-amandes	5.607651758610084	0.5
souffle	5.603319059578532	1.0
chocolate-peanut-butter-cake	5.59065925668229	1.0
nachos	5.577330230773917	1.0
sujebi	5.549231643731995	0.5
quiche-lorraine	5.535146704477965	1.0
nacho-salad	5.527936726156661	0.5
spinach-quiche	5.405250774044602	1.0
cranberry-apple-crisp	5.306688310388696	0.5
danishes	5.285723075759789	0.5
brownies	5.217190651688745	1.0
vanilla-souffle	5.19078624136986	0.5
loaded-nachos	5.166205976134056	0.5
cherry-pie	5.132986311040699	0.5
spinach-and-ricotta-lasagna	5.126188994204356	0.5
bacon-wrapped-scallops	5.1251345114073965	1.0
enchiladas	5.105607151551441	0.5
bacon-egg-muffins	5.1032910269863345	1.0
soba-noodle-salad-with-peanut-dressing	5.054025660901721	0.0
bacon-and-egg-breakfast-sandwich	4.983780574349243	1.0
brioche-bread-with-chocolate	4.961067905923796	1.0
pickled-green-beans	4.867607332718485	0.5
peanut-butter-cupcakes	4.863393455862241	0.5
chiles-rellenos	4.85022259269472	1.0
ma-la-beef	4.826724686616856	0.5
bacon-wrapped-dates	4.807812009940362	1.0
maple-bacon-donuts	4.804660268475329	1.0
falafel	4.771729526169345	0.0
peach-crisp	4.720085619644097	0.5
bolognese-sauce	4.698794782815913	0.5
chicken-fingers	4.669735131220138	0.5
tempura-udon	4.641169191253601	0.5
burritos	4.624131461977947	0.5
maple-bacon-pancakes	4.59974029133027	1.0
cold-sesame-noodles	4.563960235501599	0.5
bacon-chocolate-chip-cookies	4.5650317102698725	1.0
cranberry-relish	4.55190394682716	0.5
chicken-alfredo-lasagna	4.550370030389861	0.5
spinach-and-feta-quiche	4.543874523022258	0.5
fried-oysters	4.50716742855949	0.5
almond-croissants	4.443092446385744	0.5
nacho-dip	4.327023505406111	1.0
pickled-asparagus	4.305031765011407	0.5
french-toast	4.2821937198794195	0.5
peach-cobbler	4.271013365701671	0.5
lasagna	4.2620535380181614	1.0
nacho-casserole	4.197476182575893	0.5
cold-soba-noodles-with-tomato-and-cucumber	4.182748241931144	0.0
almond-chip-cookies	4.147812101736518	0.5
udon	4.1170981152317445	0.0
chocolate-croissants	4.028293939362456	1.0
chocolate-cake	4.022769938956525	1.0
classic-beef-lasagna	4.012963828190138	0.5
berry-crisp	3.984474698329037	0.5
pico-de-gallo	3.9141744772093463	0.0
pasta-primavera	3.807946369242252	0.5
peanut-butter-brownies	3.8015566530103126	1.0
blueberry-crumble	3.743797286686821	0.5
bacon-souffle	3.617012069156581	1.0
cherry-cobbler	3.5310323652468147	0.5
cinnamon-babka	3.4197814473940804	0.5
chocolate-souffle	3.345203679215923	1.0
blueberry-crisp	3.2700934493916805	0.5
vegetarian-mushroom-lasagna	3.2569273237417793	0.5
spinach-and-ricotta-stuffed-shells	3.089577149791093	0.5
butter-croissants	3.020240194477843	0.5
berry-crumble	2.80558626580419	0.5
vegetable-lasagna	2.6826430438545508	0.5
